TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,CityId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,UserCityName,UserCityCountryId,AttractionCityName,AttractionCityCountryId,ContinentName,RegionName,RegionContinentId,CountryName,CountryRegionId,AttractionType,Season,UserAvgRating,UserVisitCount,AttractionAvgRating,AttractionVisitCount,VisitModePopularity,AttractionTypePopularity
3,70456,2022,10,2,640,5,5,21,163,4341.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,21620,13251
8,7567,2022,10,4,640,5,2,8,48,464.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,Canada,8,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,10945,13251
9,79069,2022,10,3,640,5,2,9,54,774.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,Brazil,9,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,15217,13251
10,31019,2022,10,3,640,3,5,17,135,583.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,Switzerland,17,Nature & Wildlife Areas,Fall,3.0,2,4.267085922109411,13198,15217,13251
15,43611,2022,10,2,640,3,5,21,163,1396.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,3.0,3,4.267085922109411,13198,21620,13251
18,43471,2022,10,4,640,5,2,8,51,1806.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,5.0,2,4.267085922109411,13198,10945,13251
22,76492,2022,9,2,640,4,1,2,9,31.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Africa,,,Tanzania,2,Nature & Wildlife Areas,Fall,4.0,2,4.267085922109411,13198,21620,13251
23,20977,2022,10,4,640,5,5,21,163,8258.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Europe,,,United Kingdom,21,Nature & Wildlife Areas,Fall,5.0,1,4.267085922109411,13198,10945,13251
28,18655,2022,9,2,640,3,1,4,22,114.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,Africa,,,South Africa,4,Nature & Wildlife Areas,Fall,3.0,1,4.267085922109411,13198,21620,13251
29,62907,2022,9,2,640,5,2,8,51,50.0,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",,,Douala,1,America,,,United States,8,Nature & Wildlife Areas,Fall,3.9285714285714284,14,4.267085922109411,13198,21620,13251
